Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-03 04:00:00-04:00,13.45,13.45,13.37,13.37,13.37,0
2023-04-03 04:01:00-04:00,13.37,13.37,13.37,13.37,13.37,0
2023-04-03 04:05:00-04:00,13.45,13.45,13.45,13.45,13.45,0
2023-04-03 04:13:00-04:00,13.33,13.33,13.3,13.3,13.3,0
2023-04-03 04:49:00-04:00,13.38,13.38,13.38,13.38,13.38,0
2023-04-03 05:09:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 05:35:00-04:00,13.32,13.32,13.23,13.23,13.23,0
2023-04-03 06:00:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 06:23:00-04:00,13.32,13.32,13.31,13.31,13.31,0
2023-04-03 06:32:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 06:35:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 06:48:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 07:00:00-04:00,13.28,13.33,13.28,13.33,13.33,0
2023-04-03 07:06:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 07:08:00-04:00,13.32,13.32,13.32,13.32,13.32,0
2023-04-03 07:19:00-04:00,13.31,13.31,13.31,13.31,13.31,0
2023-04-03 07:27:00-04:00,13.32,13.32,13.32,13.32,13.32,0
2023-04-03 07:33:00-04:00,13.3,13.31,13.3,13.3,13.3,0
2023-04-03 07:35:00-04:00,13.29,13.29,13.28,13.29,13.29,0
2023-04-03 07:36:00-04:00,13.29,13.29,13.27,13.27,13.27,0
2023-04-03 07:38:00-04:00,13.27,13.27,13.27,13.27,13.27,0
2023-04-03 07:40:00-04:00,13.26,13.26,13.26,13.26,13.26,0
2023-04-03 07:43:00-04:00,13.28,13.28,13.28,13.28,13.28,0
2023-04-03 07:46:00-04:00,13.28,13.29,13.28,13.29,13.29,0
2023-04-03 07:47:00-04:00,13.29,13.29,13.29,13.29,13.29,0
