Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-03 04:10:00-04:00,37.5,37.5,37.49,37.49,37.49,0
2023-04-03 04:11:00-04:00,37.4,37.4,37.4,37.4,37.4,0
2023-04-03 04:13:00-04:00,37.4,37.4,37.4,37.4,37.4,0
2023-04-03 04:20:00-04:00,37.4,37.4,37.36,37.38,37.38,0
2023-04-03 04:27:00-04:00,37.37,37.37,37.37,37.37,37.37,0
2023-04-03 05:09:00-04:00,37.37,37.45,37.37,37.45,37.45,0
2023-04-03 05:10:00-04:00,37.45,37.45,37.45,37.45,37.45,0
2023-04-03 05:30:00-04:00,37.47,37.47,37.47,37.47,37.47,0
2023-04-03 05:34:00-04:00,37.41,37.41,37.41,37.41,37.41,0
2023-04-03 05:47:00-04:00,37.43,37.43,37.43,37.43,37.43,0
2023-04-03 05:48:00-04:00,37.43,37.43,37.43,37.43,37.43,0
2023-04-03 06:18:00-04:00,37.49,37.49,37.49,37.49,37.49,0
2023-04-03 06:23:00-04:00,37.43,37.43,37.43,37.43,37.43,0
2023-04-03 06:24:00-04:00,37.48,37.48,37.48,37.48,37.48,0
2023-04-03 06:25:00-04:00,37.48,37.48,37.48,37.48,37.48,0
2023-04-03 06:26:00-04:00,37.48,37.48,37.48,37.48,37.48,0
2023-04-03 06:29:00-04:00,37.44,37.44,37.44,37.44,37.44,0
2023-04-03 06:30:00-04:00,37.48,37.48,37.48,37.48,37.48,0
2023-04-03 06:32:00-04:00,37.56,37.56,37.56,37.56,37.56,0
2023-04-03 06:33:00-04:00,37.56,37.56,37.56,37.56,37.56,0
2023-04-03 06:35:00-04:00,37.48,37.48,37.48,37.48,37.48,0
2023-04-03 06:40:00-04:00,37.48,37.49,37.48,37.49,37.49,0
2023-04-03 06:51:00-04:00,37.54,37.54,37.54,37.54,37.54,0
2023-04-03 06:54:00-04:00,37.55,37.55,37.55,37.55,37.55,0
2023-04-03 06:59:00-04:00,37.49,37.49,37.49,37.49,37.49,0
2023-04-03 07:00:00-04:00,37.49,37.51,37.43,37.49,37.49,0
2023-04-03 07:01:00-04:00,37.49,37.49,37.49,37.49,37.49,0
2023-04-03 07:02:00-04:00,37.48,37.5,37.46,37.5,37.5,0
2023-04-03 07:07:00-04:00,37.5,37.5,37.47,37.5,37.5,0
2023-04-03 07:09:00-04:00,37.5,37.5,37.5,37.5,37.5,0
2023-04-03 07:12:00-04:00,37.46,37.46,37.46,37.46,37.46,0
