Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-03 04:00:00-04:00,50.9,53.47,50.9,52.69,52.69,0
2023-04-03 04:01:00-04:00,52.68,52.69,52.4,52.4,52.4,0
2023-04-03 04:02:00-04:00,52.4,52.69,52.4,52.61,52.61,0
2023-04-03 04:03:00-04:00,52.69,52.69,52.68,52.68,52.68,0
2023-04-03 04:05:00-04:00,52.42,53.0,52.42,52.69,52.69,0
2023-04-03 04:06:00-04:00,52.97,52.97,52.97,52.97,52.97,0
2023-04-03 04:08:00-04:00,52.73,52.73,52.72,52.72,52.72,0
2023-04-03 04:09:00-04:00,52.69,52.7,52.69,52.7,52.7,0
2023-04-03 04:10:00-04:00,52.7,52.7,52.6,52.6,52.6,0
2023-04-03 04:14:00-04:00,52.66,52.68,52.6,52.6,52.6,0
2023-04-03 04:15:00-04:00,52.67,52.69,52.61,52.69,52.69,0
2023-04-03 04:18:00-04:00,52.7,52.79,52.7,52.79,52.79,0
2023-04-03 04:21:00-04:00,52.7,52.78,52.7,52.78,52.78,0
2023-04-03 04:22:00-04:00,52.78,52.78,52.78,52.78,52.78,0
2023-04-03 04:23:00-04:00,52.78,52.8,52.78,52.8,52.8,0
2023-04-03 04:24:00-04:00,52.76,52.8,52.65,52.8,52.8,0
2023-04-03 04:28:00-04:00,52.8,52.94,52.79,52.8,52.8,0
2023-04-03 04:29:00-04:00,52.9,52.9,52.9,52.9,52.9,0
2023-04-03 04:30:00-04:00,52.8,52.8,52.8,52.8,52.8,0
2023-04-03 04:32:00-04:00,52.65,52.65,52.65,52.65,52.65,0
2023-04-03 04:35:00-04:00,52.66,52.66,52.66,52.66,52.66,0
2023-04-03 04:36:00-04:00,52.65,52.65,52.65,52.65,52.65,0
2023-04-03 04:37:00-04:00,52.7,52.7,52.7,52.7,52.7,0
2023-04-03 04:38:00-04:00,52.72,52.72,52.72,52.72,52.72,0
2023-04-03 04:39:00-04:00,52.73,52.75,52.73,52.75,52.75,0
2023-04-03 04:40:00-04:00,52.78,52.8,52.78,52.8,52.8,0
2023-04-03 04:41:00-04:00,52.93,52.99,52.93,52.98,52.98,0
2023-04-03 04:43:00-04:00,52.8,52.8,52.8,52.8,52.8,0
2023-04-03 04:53:00-04:00,52.84,52.88,52.84,52.88,52.88,0
2023-04-03 04:54:00-04:00,52.81,52.81,52.65,52.65,52.65,0
2023-04-03 04:55:00-04:00,52.8,52.81,52.8,52.81,52.81,0
2023-04-03 04:59:00-04:00,52.85,52.92,52.85,52.92,52.92,0
2023-04-03 05:00:00-04:00,52.88,52.91,52.85,52.91,52.91,0
2023-04-03 05:01:00-04:00,52.89,52.89,52.89,52.89,52.89,0
2023-04-03 05:02:00-04:00,52.86,52.89,52.82,52.89,52.89,0
2023-04-03 05:04:00-04:00,52.89,52.92,52.89,52.92,52.92,0
2023-04-03 05:05:00-04:00,52.85,52.85,52.85,52.85,52.85,0
2023-04-03 05:08:00-04:00,52.92,52.92,52.92,52.92,52.92,0
2023-04-03 05:09:00-04:00,52.92,52.92,52.92,52.92,52.92,0
2023-04-03 05:11:00-04:00,52.92,52.92,52.92,52.92,52.92,0
2023-04-03 05:12:00-04:00,52.96,52.96,52.96,52.96,52.96,0
2023-04-03 05:16:00-04:00,53.02,53.02,52.99,53.0,53.0,0
2023-04-03 05:17:00-04:00,52.94,52.94,52.9,52.91,52.91,0
2023-04-03 05:19:00-04:00,52.9,52.92,52.89,52.92,52.92,0
2023-04-03 05:22:00-04:00,52.94,52.94,52.85,52.85,52.85,0
2023-04-03 05:23:00-04:00,52.76,52.76,52.76,52.76,52.76,0
2023-04-03 05:25:00-04:00,52.85,52.85,52.85,52.85,52.85,0
2023-04-03 05:28:00-04:00,52.84,52.84,52.84,52.84,52.84,0
2023-04-03 05:30:00-04:00,52.84,52.85,52.84,52.85,52.85,0
2023-04-03 05:39:00-04:00,52.85,52.85,52.85,52.85,52.85,0
2023-04-03 05:41:00-04:00,52.87,52.87,52.87,52.87,52.87,0
2023-04-03 05:44:00-04:00,52.9,52.9,52.9,52.9,52.9,0
2023-04-03 05:45:00-04:00,52.9,52.9,52.9,52.9,52.9,0
2023-04-03 05:55:00-04:00,52.9,52.9,52.9,52.9,52.9,0
2023-04-03 05:57:00-04:00,52.9,52.9,52.9,52.9,52.9,0
2023-04-03 05:58:00-04:00,52.9,52.9,52.9,52.9,52.9,0
2023-04-03 06:01:00-04:00,52.96,52.98,52.92,52.98,52.98,0
2023-04-03 06:06:00-04:00,52.87,52.87,52.86,52.86,52.86,0
2023-04-03 06:07:00-04:00,52.85,52.85,52.85,52.85,52.85,0
2023-04-03 06:09:00-04:00,52.91,52.91,52.9,52.9,52.9,0
2023-04-03 06:13:00-04:00,52.85,52.85,52.8,52.85,52.85,0
2023-04-03 06:16:00-04:00,52.91,52.94,52.9,52.9,52.9,0
2023-04-03 06:19:00-04:00,52.93,52.94,52.93,52.94,52.94,0
