,Price0,Price1,Price2
0,33.150000000000006,32.917500000000004,32.605000000000004
1,32.917500000000004,32.605000000000004,32.3275
2,32.605000000000004,32.3275,32.2025
3,32.3275,32.2025,32.1625
4,32.2025,32.1625,32.2575
5,32.1625,32.2575,32.34
6,32.2575,32.34,32.3925
7,32.34,32.3925,32.56
8,32.3925,32.56,32.4625
9,32.4625,32.1725,31.687500000000004
10,32.1725,31.687500000000004,31.17
11,31.687500000000004,31.17,31.255
12,31.17,31.255,31.832500000000003
13,31.255,31.832500000000003,32.1075
14,31.832500000000003,32.1075,31.9
15,31.9,31.82,31.725
16,31.82,31.725,31.5025
17,31.725,31.5025,31.45
18,31.5025,31.45,31.387500000000003
19,31.45,31.387500000000003,31.3775
20,31.387500000000003,31.3775,31.35
21,31.3775,31.35,31.1025
22,31.35,31.1025,30.7525
23,31.1025,30.7525,30.597500000000004
24,30.7525,30.597500000000004,30.4875
25,30.597500000000004,30.4875,30.3125
26,30.4875,30.3125,30.0175
27,30.3125,30.0175,29.867500000000003
28,30.0175,29.867500000000003,29.85
29,29.867500000000003,29.85,30.2175
30,29.85,30.2175,30.545
31,30.2175,30.545,30.7275
32,30.4325,30.5075,30.455
33,30.5075,30.455,30.57
34,30.455,30.57,30.8525
35,31.582500000000003,31.6025,31.5725
36,31.5725,31.5075,31.380000000000003
37,31.5075,31.380000000000003,31.3875
38,31.380000000000003,31.3875,31.4075
39,31.3875,31.4075,31.395000000000003
40,31.4075,31.395000000000003,31.442500000000003
41,31.395000000000003,31.442500000000003,31.4375
42,31.442500000000003,31.4375,31.4275
43,31.4375,31.4275,31.445
44,31.4275,31.445,31.5525
45,31.445,31.5525,31.637500000000003
46,31.602500000000003,31.355,31.385
47,31.355,31.385,31.34
48,31.385,31.34,31.24
49,31.34,31.24,31.2275
50,31.24,31.2275,31.17
51,31.2275,31.17,31.040000000000003
52,31.17,31.040000000000003,31.0
53,31.040000000000003,31.0,31.0925
54,31.0,31.0925,31.1
55,31.0925,31.1,31.1075
56,31.1,31.1075,31.14
57,31.1075,31.14,31.0725
58,31.14,31.0725,31.04
59,31.0725,31.04,31.0225
60,31.04,31.0225,31.035
61,31.0225,31.035,31.03
62,31.035,31.03,30.915
63,31.03,30.915,30.805
64,30.915,30.805,30.66
65,30.805,30.66,30.6425
66,30.66,30.6425,30.700000000000003
67,30.6425,30.700000000000003,30.6825
68,30.700000000000003,30.6825,30.7075
69,30.6825,30.7075,30.705
70,30.7075,30.705,30.695
71,30.705,30.695,30.6275
72,30.695,30.6275,30.5625
73,30.6275,30.5625,30.5325
74,30.5625,30.5325,30.2925
75,30.5325,30.2925,30.0825
76,30.2925,30.0825,30.1
77,30.0825,30.1,29.74
78,30.1,29.74,29.4575
79,29.74,29.4575,29.2025
80,29.4575,29.2025,29.1825
81,29.2025,29.1825,29.0625
82,29.1825,29.0625,29.095
83,29.0625,29.095,29.18
84,29.095,29.18,29.2625
85,29.18,29.2625,29.3925
86,29.2625,29.3925,29.4325
87,29.3925,29.4325,29.3275
88,29.4325,29.3275,29.02
89,29.3275,29.02,28.7175
90,29.02,28.7175,28.48
91,28.7175,28.48,28.355
92,28.48,28.355,28.71
93,28.355,28.71,29.045
94,28.71,29.045,29.222500000000004
95,29.04,28.91,29.0025
96,28.91,29.0025,28.85
97,29.0025,28.85,28.64
98,28.85,28.64,28.6875
99,28.64,28.6875,28.5175
100,28.6875,28.5175,28.155
101,28.5175,28.155,27.905
102,28.155,27.905,27.8625
103,27.905,27.8625,27.3875
104,27.8625,27.3875,27.0625
105,27.3875,27.0625,27.07
106,27.0625,27.07,26.54
107,27.07,26.54,26.5275
108,26.54,26.5275,26.6875
109,26.5275,26.6875,26.5325
110,26.6875,26.5325,26.3025
111,26.5325,26.3025,26.2
112,26.3025,26.2,26.1925
113,26.2,26.1925,26.457500000000003
114,26.1925,26.457500000000003,26.3575
115,26.457500000000003,26.3575,25.880000000000003
116,26.3575,25.880000000000003,25.83
117,25.880000000000003,25.83,26.08
118,25.83,26.08,25.94
119,26.08,25.94,25.865
120,25.94,25.865,25.625
121,25.865,25.625,25.395000000000003
122,25.625,25.395000000000003,25.58
123,25.395000000000003,25.58,25.630000000000003
124,25.58,25.630000000000003,25.5375
125,25.630000000000003,25.5375,25.442500000000003
126,25.5375,25.442500000000003,25.2325
127,25.442500000000003,25.2325,24.4925
128,25.2325,24.4925,24.0725
129,24.4925,24.0725,24.2525
130,24.0725,24.2525,23.2525
131,24.2525,23.2525,21.87
132,23.2525,21.87,20.3475
133,21.87,20.3475,20.7575
134,20.3475,20.7575,21.6875
135,20.7575,21.6875,21.7775
136,21.6875,21.7775,22.3225
137,21.7775,22.3225,22.885
138,22.3225,22.885,23.1725
139,22.77,22.30125,22.3925
140,22.30125,22.3925,22.9525
141,22.3925,22.9525,22.856250000000003
142,22.765,22.665,22.6525
143,22.665,22.6525,22.7325
144,22.6525,22.7325,22.37125
145,22.7325,22.37125,21.87625
146,22.37125,21.87625,22.3175
147,21.87625,22.3175,22.8675
148,22.3175,22.8675,22.8525
149,22.6625,22.6975,22.7525
150,23.3275,22.795,22.7225
151,22.795,22.7225,22.8925
152,22.7225,22.8925,22.955
153,22.8925,22.955,23.0225
154,22.955,23.0225,23.04
155,23.0225,23.04,23.250000000000004
156,23.04,23.250000000000004,23.34
157,23.195,23.19,22.8175
158,23.19,22.8175,22.64
159,22.8175,22.64,22.9425
160,22.64,22.9425,22.9375
161,22.9425,22.9375,22.8325
162,22.9375,22.8325,22.915
163,22.8325,22.915,22.857625
164,22.915,22.857625,22.735
165,22.857625,22.735,22.9
166,22.735,22.9,22.850375
167,22.9,22.850375,22.595
168,22.850375,22.595,22.235000000000003
169,22.595,22.235000000000003,22.145
170,22.235000000000003,22.145,22.322125
171,22.145,22.322125,22.37
172,22.322125,22.37,22.19
173,22.37,22.19,22.184625
174,22.19,22.184625,22.1875
175,22.184625,22.1875,21.9925
176,22.1875,21.9925,21.6775
177,21.9925,21.6775,21.56625
178,21.6775,21.56625,21.676225
179,21.56625,21.676225,21.655
180,21.676225,21.655,21.7425
181,21.655,21.7425,21.802475
182,21.7425,21.802475,21.865
183,21.802475,21.865,21.94
184,21.865,21.94,21.8753
185,21.8753,21.910200000000003,21.9125
186,21.877125,21.965,22.1325
