,Ticker:,Total Gain:,Trades:
0,A,-0.6538216749199689%,68
1,AAL,-1.882803376427683%,65
2,AAP,-1.6653503563195047%,59
3,AAPL,-0.32187456734355835%,71
4,ABBV,2.698782297713703%,68
5,ABC,0.72243920610269%,63
6,ABT,-0.5622612513495123%,65
7,ACGL,-0.9560181447264124%,66
8,ACN,-0.13138684140178397%,72
9,ADBE,-0.5796857279631005%,70
10,ADI,-0.41684304291988855%,70
11,ADM,-0.6831465756983673%,67
12,ADP,-1.4282233229222097%,76
13,ADSK,-0.14802806320876793%,74
14,AEE,-0.1955794905342091%,67
15,AEP,-0.3809237969365106%,69
16,AES,-1.9065899999355616%,64
17,AFL,-0.6450165807077636%,60
18,AIG,-1.3735631756602984%,56
19,AIZ,-1.7391003008714065%,43
20,AJG,0.4335306937592465%,68
21,AKAM,-1.585176943501696%,66
22,ALB,-2.5657984429236187%,69
23,ALGN,-1.4738559850511017%,63
24,ALK,-2.169750943201488%,62
25,ALL,0.1424987663996441%,65
26,ALLE,-1.3111315403885613%,57
27,AMAT,-1.0318140949176169%,72
28,AMCR,-0.7972782175273083%,68
29,AMD,-1.2708885161895993%,72
30,AME,1.542370055612737%,64
31,AMGN,0.1307122030090841%,68
32,AMP,0.5354115383521688%,55
33,AMT,0.15235983286121124%,65
34,AMZN,-0.9762088281657172%,70
35,ANET,-0.2776173700427851%,64
36,ANSS,-0.46819293053480604%,57
37,AON,0.08534767658112513%,67
38,AOS,-0.06242349151107174%,66
39,APA,-2.3749512813166285%,60
40,APD,1.1848534479438817%,73
41,APH,-0.736386819081698%,71
42,APTV,-1.936448219914504%,66
43,ARE,-3.3239536257354345%,64
44,ATO,-0.9562513358847543%,65
45,ATVI,-0.13837263353473095%,79
46,AVB,-1.3031530356872953%,69
47,AVGO,0.35084617024866044%,81
48,AVY,1.898122771332265%,54
49,AWK,0.12233135756788177%,67
50,AXP,-1.4891978219124598%,63
51,AZO,1.5155071348642881%,33
52,BA,-1.0445735106352259%,64
53,BAC,-0.6664058166003622%,76
54,BALL,-1.1880757900628751%,57
55,BAX,-2.5336137501862948%,61
56,BBWI,-2.1684114039601607%,65
57,BBY,-0.8936971199835937%,58
58,BDX,0.7350180637509816%,71
59,BEN,-1.0473913151605496%,67
60,BF-B,-0.33654211245635823%,70
61,BG,-1.327545209809847%,62
62,BIIB,-0.0023957254729609825%,67
63,BIO,-1.414878264438098%,27
64,BK,-1.2679439129328438%,67
65,BKNG,1.373644984203368%,42
66,BKR,-1.408171053044699%,65
67,BLK,0.006509888094743635%,66
68,BMY,-0.5297791043185163%,68
69,BR,-1.0558994026140869%,48
70,BRK-B,-0.39168059256675236%,70
71,BRO,-0.3209080258601577%,68
72,BSX,-0.6259408458611364%,70
73,BWA,-0.6973680489947793%,70
74,BXP,-3.406657388336989%,65
75,C,-1.800800337472211%,63
76,CAG,-1.4804921986309987%,65
77,CAH,-1.0414064015934723%,65
78,CARR,-0.16643494524876082%,78
79,CAT,-1.7891292445452482%,69
80,CB,0.22678618054928473%,71
81,CBOE,1.0531026911921737%,60
82,CBRE,-1.8238713069215846%,66
83,CCI,-0.2813292699702015%,71
84,CCL,-0.5683574378808476%,74
85,CDAY,0.14436974594290747%,65
86,CDNS,-0.4580893508454963%,81
87,CDW,-0.37579992325093414%,71
88,CE,-1.9594630689552763%,63
89,CEG,-2.3591502248222014%,68
90,CF,-2.760269909080938%,65
91,CFG,-3.527417966821969%,65
92,CHD,-1.6255826886442435%,63
93,CHRW,-2.9415486627750176%,65
