,Ticker:,Total Gain:,Trades:
170,ETSY,-4.334153962279692%,17
171,EVRG,-0.5748032500182495%,29
172,EW,-0.8239496036720629%,25
173,EXC,-0.22079664204868552%,29
174,EXPD,-2.3963112093645598%,20
175,EXPE,-2.7336696779176584%,21
176,EXR,-0.2032742751794003%,32
177,F,-0.3225991751054578%,27
178,FANG,-0.7151369802233021%,25
179,FAST,-0.9001437576459815%,20
180,FCX,-1.766768376965713%,26
181,FDS,0.3574929817003873%,10
182,FDX,0.00022055753884380196%,26
183,FE,-0.30582122637698705%,31
184,FFIV,-0.012479533785766161%,20
185,FICO,-0.11699803893255549%,16
186,FIS,-1.0749982278812342%,31
187,FISV,-0.9123255632577546%,24
188,FITB,-1.6816159101982586%,29
189,FLT,0.2710286042745214%,22
190,FMC,-0.38992815813423276%,23
191,FOX,0.0026762697413481307%,31
192,FOXA,-0.7519922809600599%,28
193,FRC,1.6220297819624334%,33
194,FRT,-0.8343483559836631%,24
195,FSLR,-3.1970805470888948%,27
196,FTNT,-0.08643030471072846%,29
197,FTV,-1.335613549519652%,19
198,GD,0.2898812768257291%,25
199,GE,-0.8096702493420985%,25
200,GEHC,0.12983057324993916%,25
201,GEN,-0.10245000554616977%,28
202,GILD,-0.3366234555087434%,24
203,GIS,-0.09330982548594892%,31
204,GL,0.11134178356243594%,16
205,GLW,-0.5024612858214843%,33
206,GM,-1.9978341410223523%,22
207,GNRC,-1.0640823559413435%,28
208,GOOG,0.23402663636011678%,27
209,GOOGL,0.2651208491077852%,27
210,GPC,0.5074617414557939%,29
211,GPN,-0.04939594596326563%,34
212,GRMN,0.27076506506518067%,27
213,GS,-0.7162672480533775%,25
214,GWW,-0.522194864356007%,10
215,HAL,0.830413727495287%,27
216,HAS,-1.7373205394861375%,25
217,HBAN,0.021274132198369697%,31
218,HCA,0.6341545866254116%,28
219,HD,0.04350090379037631%,27
220,HES,1.0894473937225964%,28
221,HIG,-0.35100935654314785%,26
222,HII,0.6421758671632143%,17
223,HLT,-1.2460158587363466%,25
224,HOLX,-0.9162319454057756%,23
225,HON,-1.1706791895778297%,14
226,HPE,0.2764398773443059%,29
227,HPQ,-0.47383682876298006%,23
228,HRL,-0.4077160725452588%,22
229,HSIC,-0.2636681000687774%,25
230,HST,-0.8697878188200251%,28
231,HSY,0.45123489943377365%,23
232,HUM,0.32916059523191105%,23
233,HWM,0.27971672820497007%,28
234,IBM,-0.1547026051904684%,26
235,ICE,0.4005221767217817%,33
236,IDXX,-4.116813036158831%,17
237,IEX,-0.5102663140115835%,12
238,IFF,-1.5825377511322127%,27
239,ILMN,-1.515404161120697%,30
240,INCY,0.1212572367072828%,27
241,INTC,-1.434228490805584%,27
242,INTU,0.17043922278274637%,36
243,INVH,-0.7604959381130857%,31
244,IP,-1.188566702384772%,25
245,IPG,0.05038161539856843%,30
246,IQV,0.4006127642930142%,28
247,IR,-1.1799489384112885%,25
248,IRM,-0.8680692871575628%,26
249,ISRG,-1.3411621491053096%,28
250,IT,0.4192573150986319%,22
251,ITW,-0.2211413831032513%,26
252,IVZ,-0.6315205500012766%,28
253,J,-0.21462796214496271%,16
254,JBHT,-1.6853528327744285%,22
255,JCI,-1.124095031587658%,19
256,JKHY,0.2068221704806851%,26
257,JNJ,0.1590657647200355%,27
258,JNPR,-0.2649992967597775%,25
259,JPM,-1.1874185317945911%,24
260,K,-0.5225559616106934%,25
261,KDP,-0.19613046253037825%,26
262,KEY,-1.3698384863000126%,31
263,KEYS,-0.050047542233507734%,22
264,KHC,-0.616729201183196%,27
265,KIM,-2.104838649710439%,25
266,KLAC,0.04837694211039174%,28
267,KMB,-0.3808226169244388%,24
268,KMI,-1.072261986896281%,23
269,KMX,-0.15143984601213045%,29
270,KO,-0.3990594168195231%,21
271,KR,-0.2987715466419351%,29
272,L,-0.7729667301913251%,24
273,LDOS,0.5554120595984077%,28
274,LEN,-0.25731279323970796%,26
275,LH,0.45371060907771976%,19
276,LHX,0.13611018664819355%,24
277,LIN,-0.3390846625895312%,19
278,LKQ,-0.541155670848841%,20
279,LLY,0.7346790072646627%,32
280,LMT,-0.03197791711707203%,21
281,LNC,-1.2492215889630598%,27
282,LNT,-0.5065263583041633%,25
283,LOW,0.0487177391627871%,31
284,LRCX,-1.399767051822469%,25
285,LUV,-0.9503882394481435%,31
286,LVS,-1.60019892656556%,29
287,LW,-1.1145086811851863%,23
288,LYB,-1.4371979819651561%,22
289,LYV,-1.5857603603918273%,23
290,MA,-0.3011591530885305%,28
291,MAA,-0.3201521263523095%,34
292,MAR,-1.6973649785025324%,21
293,MAS,-0.5053925804992748%,27
294,MCD,0.22657955401137192%,28
295,MCHP,-1.9427299120604704%,24
296,MCK,0.08447556732091666%,26
297,MCO,-0.9694175598413288%,24
298,MDLZ,-0.38171358486977%,20
299,MDT,-1.5353028925550425%,26
300,MET,-0.6502290078957458%,28
301,META,0.29771282773504704%,28
302,MGM,-1.244676779765285%,26
303,MHK,0.1743490547182199%,22
304,MKC,0.02803532901154243%,23
305,MKTX,1.7696572108300128%,20
306,MLM,-0.9543304634290068%,19
307,MMC,0.6310874372089144%,31
308,MMM,-1.3438277126372953%,26
309,MNST,-2.1104548423743337%,27
310,MO,0.09150961586314618%,27
311,MOH,-1.5847924364353163%,18
312,MOS,-1.8101705124513405%,22
313,MPC,-3.547696549534073%,21
314,MPWR,-2.3331551679950637%,23
315,MRK,0.2681311650924251%,21
316,MRNA,-0.44755997708369877%,24
317,MRO,-0.2674042432906447%,27
318,MS,-0.9908611127260877%,28
319,MSCI,-0.37114724571062585%,14
320,MSFT,-0.9606121003203019%,25
321,MSI,0.5909170017573634%,29
322,MTB,-0.6339253539163583%,30
323,MTCH,-1.3137565477025603%,27
324,MTD,1.7377261358750338%,12
325,MU,-2.400690319191986%,30
326,NCLH,-0.27891540977055884%,29
327,NDAQ,-0.7882650911371029%,27
328,NDSN,-0.7578463553880199%,10
329,NEE,-1.1623214453616288%,22
330,NEM,-1.301485100181845%,21
331,NFLX,-0.34810505170722633%,25
332,NI,-1.0641955945811776%,25
333,NKE,-1.536608956917629%,19
334,NOC,0.6074237779905814%,25
335,NOW,0.46346853680448874%,33
336,NRG,-2.2496925132797707%,27
337,NSC,-1.1341308954948472%,29
338,NTAP,-0.584872668080467%,26
339,NTRS,-0.42080826906310564%,38
340,NUE,-0.17338532888234193%,31
341,NVDA,-1.4765859825434624%,17
342,NVR,-0.01965258786373547%,12
343,NWL,0.11157492095473703%,29
344,NWS,0.05997177640832975%,27
