,Ticker:,Total Gain:
0,A,-1.3780084323801942%
1,AAL,-1.3974919859902621%
2,AAP,35.96578047564179%
3,AAPL,2.178760608916494%
4,ABBV,3.8181372143550645%
5,ABC,-1.2687781580697333%
6,ABT,2.043286416334473%
7,ACGL,2.7554736105100632%
8,ACN,8.36850282301044%
9,ADBE,4.362332157843993%
10,ADI,-0.576328083404344%
11,ADM,1.4675235476518846%
12,ADP,-1.9449866835535892%
13,ADSK,2.670750524351246%
14,AEE,-1.1356445999746365%
15,AEP,0.39360735711564376%
16,AES,1.655342103861575%
17,AFL,-1.1955594630882347%
18,AIG,-4.729408666128074%
19,AIZ,-1.7376222853038186%
20,AJG,-0.4878447089280555%
21,AKAM,-1.152679099968961%
22,ALB,4.166236520127127%
23,ALGN,5.182945554228322%
24,ALK,-0.27026518367214536%
25,ALL,0.4854441987899021%
26,ALLE,-2.7243085372185645%
27,AMAT,2.2020580046898095%
28,AMCR,-0.5646859094958823%
29,AMD,-0.5592565850516845%
30,AME,-0.8662708095346223%
31,AMGN,-0.20921679403226875%
32,AMP,-1.147052723149282%
33,AMT,-0.8646784457293863%
34,AMZN,-2.2727148461069544%
35,ANET,-1.4400400707894492%
36,ANSS,0.5043512109773711%
37,AON,0.30617523363954197%
38,AOS,-1.2970573253234348%
39,APA,-4.487991588276101%
40,APD,-1.451126307784333%
41,APH,-1.4727322880900717%
42,APTV,-2.0287198024924815%
43,ARE,-0.302850115735379%
44,ATO,-0.12963936114597188%
45,ATVI,-0.39434648928876903%
46,AVB,0.005656208191143153%
47,AVGO,-0.03947350009561111%
48,AVY,-1.6474232882275974%
49,AWK,0.9981752021387503%
50,AXP,-1.2754512906770692%
51,AZO,-1.1760466635145357%
52,BA,-0.7969625562626523%
53,BAC,-2.579817632722314%
54,BALL,-1.500833229853027%
55,BAX,-2.996598101092543%
56,BBWI,-4.770135318516158%
57,BBY,-2.776739245806054%
58,BDX,-1.2361934390874185%
59,BEN,-1.4084255869351496%
60,BF-B,-0.8592627548571999%
61,BG,-2.713524857107227%
62,BIIB,-0.285148357558625%
63,BIO,-1.8757487430314876%
64,BK,-1.6573236444277486%
65,BKNG,-1.9718084910849427%
66,BKR,-3.0563071201237384%
67,BLK,-0.37093770546716376%
68,BMY,-0.5242609485505706%
69,BR,-1.0626970480832925%
70,BRK-B,-1.403656350456592%
71,BRO,-1.1921242357790405%
72,BSX,-1.7781172895573842%
73,BWA,-1.3163036858353747%
74,BXP,-3.919617254912804%
75,C,-2.2839555127229705%
76,CAG,0.25149809058107647%
77,CAH,-1.2856046644380321%
78,CARR,-1.371106723679917%
79,CAT,-1.9382696467945%
80,CB,-1.7833536538376698%
81,CBOE,0.31290717027078346%
82,CBRE,-5.220913026536265%
83,CCI,-1.4330381746663035%
84,CCL,-3.0029228647556714%
85,CDAY,-2.4897980253394936%
86,CDNS,-0.8774867255910506%
87,CDW,-0.8380409801698747%
88,CE,-3.752789695850993%
89,CEG,-1.3982913758041327%
90,CF,-4.082768210966134%
91,CFG,-4.674850492358853%
92,CHD,-0.22063834720873624%
93,CHRW,-0.436833461871837%
94,CHTR,-1.566602286676785%
95,CI,-3.167555400815129%
96,CINF,-1.7938431824114445%
97,CL,-0.7535793325656095%
98,CLX,0.30197327817822345%
99,CMA,-11.747503302226477%
