,Ticker:,Total Gain:,Trades:
0,A,-1.3780084323801942%,26
1,AAL,-1.3974919859902621%,78
2,AAP,35.96578047564179%,47
3,AAPL,2.178760608916494%,89
4,ABBV,3.8181372143550645%,50
5,ABC,-1.2687781580697333%,38
6,ABT,2.043286416334473%,50
7,ACGL,2.7554736105100632%,38
8,ACN,8.36850282301044%,48
9,ADBE,4.362332157843993%,86
10,ADI,-0.576328083404344%,42
11,ADM,1.4675235476518846%,48
12,ADP,-1.9449866835535892%,36
13,ADSK,2.670750524351246%,40
14,AEE,-1.1356445999746365%,46
15,AEP,0.39360735711564376%,45
16,AES,1.655342103861575%,41
17,AFL,-1.1955594630882347%,34
18,AIG,-4.729408666128074%,35
19,AIZ,-1.7376222853038186%,31
20,AJG,-0.4878447089280555%,32
21,AKAM,-1.152679099968961%,34
22,ALB,4.166236520127127%,57
23,ALGN,5.182945554228322%,38
24,ALK,-0.27026518367214536%,40
25,ALL,0.4854441987899021%,35
26,ALLE,-2.7243085372185645%,35
27,AMAT,2.2020580046898095%,55
28,AMCR,-0.5646859094958823%,43
29,AMD,-0.5592565850516845%,10
30,AME,0.26090090734813476%,36
31,AMGN,-0.2622574495569221%,44
32,AMP,-2.0256120964512347%,36
33,AMT,2.092065055375943%,46
34,AMZN,-1.3748437205494795%,91
35,ANET,1.7313572825650576%,49
36,ANSS,1.0902941201162153%,30
37,AON,-0.17331842106465217%,35
38,AOS,-2.2399544451952837%,38
39,APA,0.7373142125910594%,40
40,APD,-2.842763280411443%,39
41,APH,-3.1770644418267753%,37
42,APTV,1.1298973081137431%,36
43,ARE,2.3994896518756983%,48
44,ATO,1.926932239627%,38
45,ATVI,4.252711924638658%,46
46,AVB,0.4487950665615778%,44
47,AVGO,2.7931080065196334%,58
48,AVY,-1.79384717623643%,26
49,AWK,0.7883860592151624%,44
50,AXP,5.351744416756025%,54
51,AZO,-0.3403738976669697%,17
52,BA,2.1672342623856142%,88
53,BAC,-2.302362974831356%,10
54,BALL,-2.16773683187393%,30
55,BAX,-3.4145098682547865%,33
56,BBWI,4.962179091541579%,33
57,BBY,-1.6964244135080901%,42
58,BDX,-1.5680850743369255%,31
59,BEN,-2.3625638501307713%,38
60,BF-B,-1.0230746798164667%,40
61,BG,0.4458564351505474%,36
62,BIIB,3.5315645854909805%,32
63,BIO,-0.10669729338798795%,19
64,BK,-0.4604089008440392%,39
65,BKNG,-0.9951168058689904%,35
66,BKR,-1.646472288470493%,40
67,BLK,3.8317191235005232%,40
68,BMY,0.3047231025330473%,47
69,BR,-1.1011154449725906%,38
70,BRK-B,3.2296675300311066%,78
