,Ticker:,Total Gain:,Trades:
0,A,-0.29405240727317%,97
1,AAL,-1.7703345534702%,92
2,AAP,0.2908809107717323%,101
3,AAPL,-0.4038277774008176%,107
4,ABBV,1.6993370440766364%,91
5,ABC,1.5182049017748314%,73
6,ABT,0.10156046564401225%,102
7,ACGL,-0.9054451702663567%,104
8,ACN,0.25623255765759223%,97
9,ADBE,0.0775867351697126%,96
10,ADI,-1.2761101581757797%,107
11,ADM,0.810043383349314%,94
12,ADP,-1.1201008435832216%,95
13,ADSK,1.3148022379508257%,92
14,AEE,0.3883688278289634%,100
15,AEP,-1.5507534256740587%,102
16,AES,-1.507974987070419%,86
17,AFL,0.20058760047852148%,91
18,AIG,0.7969967561347768%,85
19,AIZ,-1.2071862153734683%,64
20,AJG,1.4852004259702187%,87
21,AKAM,-0.7780760614068318%,91
22,ALB,-1.4922432125685305%,102
23,ALGN,-1.569033360958863%,82
24,ALK,-0.17353206034495539%,104
25,ALL,0.3909248124595836%,93
26,ALLE,0.4273198948081527%,85
27,AMAT,-0.030470679666519666%,101
28,AMCR,-1.0370981507586032%,56
29,AMD,-0.15316489550004417%,92
30,AME,-0.6203364115849976%,96
31,AMGN,0.43136069220640394%,101
32,AMP,-0.20119756940158962%,64
33,AMT,0.042518664793586514%,101
34,AMZN,1.5112972141875227%,99
35,ANET,-0.19079605011614054%,94
36,ANSS,-0.4780478201757793%,68
37,AON,-0.22706169905536394%,83
38,AOS,-1.3214181060758885%,96
39,APA,0.2494873124117981%,93
40,APD,-0.4992348613176839%,94
41,APH,-0.6326449553590047%,89
42,APTV,-1.025222098589766%,96
43,ARE,-2.075927647714492%,90
44,ATO,-0.20054320404694823%,87
45,ATVI,1.1340124571784387%,98
46,AVB,-0.4810596788288868%,93
47,AVGO,-0.19685325466002865%,94
48,AVY,0.9576717408991098%,63
49,AWK,-0.21958097422725437%,78
50,AXP,-0.43902657129379635%,95
51,AZO,0.8149097323599078%,42
52,BA,0.2745985779168297%,91
53,BAC,-0.0597346913284479%,88
54,BALL,0.49213365825595545%,103
55,BAX,-1.5114844385121886%,94
56,BBWI,1.072917312576143%,92
57,BBY,1.0173308872157416%,96
58,BDX,-0.7205724921551239%,99
59,BEN,-0.011583076135433495%,92
60,BF-B,-0.18767896986789256%,97
